customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
10001,59.0,Female,East,Secondary,Salaried,375573.89781112503,50000.0,Other,591.0714259478689,1,45,0.17851034818483794,2018-04-14,1
10002,,Female,West,Graduate,Salaried,1100824.3083704796,336063.6628042214,Home,683.0396862219187,2,96,0.7511149959268111,2023-02-07,0
10003,35.0,Male,South,Post-Graduate,Salaried,411973.80147586646,217522.19578408817,Other,,2,35,0.8667988737630626,2023-05-14,0
10004,63.0,Male,South,Graduate,Self-Employed,826216.877306188,391662.0646340935,Home,655.3478285377736,1,47,0.741069399800404,2019-03-16,0
10005,,Female,East,Graduate,Salaried,781453.0836050177,295299.406510929,Home,751.3680349160921,0,109,0.5251264490780709,2022-12-11,0
10006,,Male,North,Graduate,Salaried,645263.2421360142,273110.61964942864,Home,702.6166827221705,0,160,0.6393093110141403,2018-12-24,0
10007,59.0,Male,East,Secondary,Salaried,561252.849428109,276378.14416824834,Education,730.5335966951993,3,145,0.7444627066100061,2022-09-21,0
10008,,Male,South,Primary,Unemployed,563739.3924675339,250947.05319628993,Car,585.8965778981676,1,23,0.1545827186020805,2022-12-10,1
10009,43.0,Male,North,Graduate,Self-Employed,435730.14057737857,95767.74873749673,Education,628.064348959582,2,33,0.43449919908050605,2022-11-22,0
10010,31.0,Male,West,Primary,Unemployed,623610.4548793096,443002.2842002091,Car,431.3379037854636,1,128,0.21502434669906556,2023-05-21,1
10011,,Male,South,Graduate,Self-Employed,304653.4016498632,204914.40798391937,Education,643.7195774751694,4,177,0.17259438669314892,2021-09-15,1
10012,44.0,Male,West,Graduate,Salaried,786813.1390939151,229837.16347352386,Car,512.9694765119842,3,110,0.7071784474288209,2019-09-12,1
10013,56.0,Male,North,Graduate,Salaried,542865.504667074,311859.8181639763,Home,850.0,3,162,0.7864566822087612,2022-10-24,0
10014,60.0,Female,West,Secondary,Salaried,359494.73969613755,132667.05166927885,Home,680.1253739513577,1,127,0.16703666671322975,2021-11-13,0
10015,44.0,Female,South,Graduate,Salaried,280889.66617603216,225138.0361941025,Car,610.1593840148945,2,162,0.24304145014310105,2021-09-27,1
10016,23.0,Female,East,Graduate,Self-Employed,567024.8043055335,587473.9527735366,Car,725.2584388432938,2,26,0.27665691815625915,2020-05-16,1
10017,42.0,Male,West,Graduate,Salaried,575720.7501333931,350510.1547034664,Other,,1,141,0.7855624781057643,2018-09-18,1
10018,22.0,Male,South,Graduate,Salaried,470483.9573402326,171329.57607517374,Home,600.6079055467613,2,94,0.8308551718559,2022-11-21,0
10019,44.0,Female,South,Post-Graduate,Salaried,725601.0225709564,50000.0,Education,615.1309664455765,3,118,0.7119800606469114,2019-01-31,0
10020,64.0,Female,North,Primary,Salaried,687110.6177641024,450209.13643987384,Other,714.4709989570198,3,120,0.7371014045076881,2023-05-09,1
10021,50.0,Female,South,Secondary,Self-Employed,614193.3326951987,148187.50812106495,Car,552.1787871950712,1,114,0.3741513227059031,2019-08-20,1
10022,58.0,Male,East,Secondary,Salaried,368509.67487132875,218569.53601450456,Education,580.275345714358,3,90,0.42665177876732974,2019-02-14,1
10023,22.0,Female,East,Primary,Salaried,414996.48770767613,237564.85770562507,Business,661.1586216910559,0,108,0.32439141428358875,2021-11-09,0
10024,41.0,Male,West,Post-Graduate,,250852.44371803704,163030.60405749796,Business,713.1423000115525,1,50,0.866704100688562,2022-11-12,1
10025,53.0,Male,West,Post-Graduate,Salaried,552157.4445364563,288564.55300825473,Business,671.1414415080088,2,69,0.6821251350153801,2018-05-18,0
10026,32.0,Female,West,Primary,Salaried,740185.4517545457,217288.32268522357,Education,,0,96,0.37307659795061476,2021-07-02,1
10027,42.0,Female,West,Primary,Salaried,,391670.0652489113,Car,660.6536607136104,1,52,0.20854024843475172,2019-02-26,1
10028,64.0,Male,East,Secondary,Self-Employed,459710.1127954258,321082.7546477693,Education,581.4994072938372,1,191,0.25584776554235056,2018-06-01,1
10029,45.0,Male,North,Graduate,Salaried,586775.4364065421,514819.28102362517,Other,555.7083026263844,1,61,0.2632668952336856,2021-02-13,1
10030,47.0,Female,West,Secondary,Salaried,739810.9229046084,517852.7762320942,Other,,2,30,0.5918488829031266,2020-01-05,1
10031,62.0,Male,North,Primary,Self-Employed,230775.27239305555,156777.46658583908,Business,,3,161,0.8223650731298233,2022-11-08,1
10032,48.0,Male,South,Primary,Salaried,1154974.5419308776,250947.71951057608,Car,648.6376226682988,3,174,0.7949422001935353,2018-02-16,0
10033,36.0,Male,South,Secondary,Salaried,788150.8809765563,623145.862106448,Other,701.1085648180004,3,131,0.15577402187975117,2023-02-22,1
10034,35.0,Female,West,Post-Graduate,Unemployed,450236.45492696157,126231.07604672291,Home,726.9927778210499,2,181,0.667245419126875,2023-02-20,0
10035,64.0,Male,South,Secondary,Self-Employed,332413.40737992676,419643.79277677037,Home,405.23530540795684,0,142,0.2341489189472865,2021-07-05,1
10036,23.0,Other,North,Secondary,Self-Employed,,382199.682290448,Business,691.0586171746296,2,198,0.3482868137391069,2021-10-28,0
10037,57.0,Female,North,Primary,Salaried,717987.3326168698,172657.54180374675,Business,804.8662176753542,2,53,0.5350453529932133,2022-06-19,0
10038,,Other,South,Secondary,Salaried,352433.17871588323,179895.17826753604,Business,621.5765900604038,1,143,0.772734558156963,2021-11-04,0
10039,41.0,Female,West,Graduate,Salaried,321469.18858658115,576741.5793302166,Other,803.7146294770995,1,87,0.2893964091066713,2022-07-24,1
10040,29.0,Male,North,Secondary,Salaried,376638.32695720525,573742.89349152,Car,681.5369937234319,3,140,0.7990642218852289,2021-03-27,1
10041,59.0,Male,North,Secondary,Unemployed,616128.4818904026,364487.3460634657,Business,,1,74,0.6877928876041876,2021-03-22,0
10042,38.0,Male,East,Graduate,Salaried,619296.627703947,92069.35112375449,Education,676.6330190925546,3,168,0.6394105292808722,2019-01-04,0
10043,24.0,Male,West,Primary,,1141082.7123000596,488528.6804558835,Business,497.86450302004755,1,192,0.2063238172554084,2022-06-07,1
10044,45.0,Female,East,Graduate,Unemployed,100000.0,91434.7057834951,Other,817.1572533520331,3,54,0.47938072505838836,2018-07-09,1
10045,34.0,Male,South,Secondary,Self-Employed,432075.0061428803,407279.853795978,Car,600.2948674342495,2,123,0.32010313044652094,2020-02-05,1
10046,29.0,Male,South,Secondary,Unemployed,467709.3213422516,57110.65887898489,Business,530.1830374356762,1,83,0.5705143425906222,2021-07-04,1
